#Tamanho, Bubble Sort, Insertion Sort, Selection Sort, Merge Sort, Quick Sort, Heap Sort, Radix Sort
0, 0, 0, 0, 0, 0, 0, 0
5, 10, 4, 10, 5, 10, 12, 4
10, 45, 9, 45, 15, 45, 41, 9
15, 105, 14, 105, 28, 105, 77, 14
20, 190, 19, 190, 40, 173, 123, 19
25, 300, 24, 300, 54, 278, 167, 24
30, 435, 29, 435, 71, 409, 213, 29
35, 595, 34, 595, 85, 567, 266, 34
40, 780, 39, 780, 100, 734, 325, 39
45, 990, 44, 990, 115, 901, 382, 44
50, 1225, 49, 1225, 133, 1065, 435, 49
55, 1485, 54, 1485, 151, 1263, 495, 54
60, 1770, 59, 1770, 172, 1473, 551, 59
65, 2080, 64, 2080, 193, 1738, 608, 64
70, 2415, 69, 2415, 205, 1987, 687, 69
75, 2775, 74, 2775, 220, 2239, 741, 74
80, 3160, 79, 3160, 240, 2506, 811, 79
85, 3570, 84, 3570, 255, 2701, 885, 84
90, 4005, 89, 4005, 275, 2932, 946, 89
95, 4465, 94, 4465, 298, 3235, 1018, 94
100, 4950, 99, 4950, 316, 3517, 1087, 99
