#Tamanho, Merge Sort, Quick Sort, Heap Sort
0, 0, 0, 0
10, 19, 22, 41
20, 57, 62, 123
30, 97, 125, 213
40, 139, 196, 325
50, 180, 251, 435
60, 240, 363, 551
70, 282, 357, 687
80, 325, 559, 811
90, 401, 573, 946
100, 454, 774, 1087
110, 467, 753, 1213
120, 547, 797, 1346
130, 576, 945, 1496
140, 653, 917, 1654
150, 691, 1133, 1799
160, 714, 1396, 1967
170, 792, 1313, 2112
180, 848, 1312, 2275
190, 905, 1308, 2428
200, 955, 1597, 2575
210, 1100, 1572, 2743
220, 1170, 1717, 2884
230, 1306, 1779, 3034
240, 1355, 1844, 3204
250, 1376, 2036, 3361
260, 1410, 2165, 3503
270, 1442, 2247, 3680
280, 1513, 2150, 3839
290, 1574, 2853, 4041
300, 1653, 2632, 4207
310, 1647, 2579, 4376
320, 1731, 3128, 4555
330, 1829, 3022, 4729
340, 1876, 3377, 4902
350, 2003, 3711, 5073
360, 1976, 3545, 5207
370, 1987, 3625, 5421
380, 2048, 3335, 5626
390, 2188, 3797, 5785
400, 2343, 4239, 5952
410, 2347, 3652, 6125
420, 2500, 4479, 6294
430, 2646, 3954, 6460
440, 2703, 4448, 6644
450, 2721, 4441, 6783
460, 2880, 4960, 6967
470, 2983, 4692, 7132
480, 2991, 4431, 7317
490, 3022, 5079, 7486
500, 3018, 4902, 7669
510, 3060, 5668, 7813
520, 3073, 5098, 7995
530, 3133, 5766, 8185
540, 3343, 5901, 8354
550, 3322, 6595, 8583
560, 3391, 6661, 8726
570, 3440, 6051, 8967
580, 3440, 6295, 9162
590, 3582, 6128, 9314
600, 3595, 6246, 9504
610, 3621, 6736, 9731
620, 3625, 6952, 9907
630, 3811, 6893, 10123
640, 3916, 7052, 10264
650, 3859, 6709, 10509
660, 4075, 7457, 10679
670, 4087, 8054, 10815
680, 4079, 7707, 11094
690, 4301, 7733, 11257
700, 4375, 7666, 11373
710, 4377, 7891, 11618
720, 4402, 8162, 11746
730, 4379, 8399, 12004
740, 4383, 8367, 12138
750, 4402, 8539, 12364
760, 4561, 8709, 12565
770, 4681, 9695, 12711
780, 4674, 9187, 12952
790, 4754, 9461, 13127
800, 4938, 9108, 13272
810, 4942, 10046, 13528
820, 4956, 10119, 13613
830, 5139, 9869, 13832
840, 5278, 9969, 13966
850, 5332, 9624, 14327
860, 5442, 10194, 14428
870, 5344, 10963, 14599
880, 5581, 10709, 14765
890, 5621, 11782, 14986
900, 5633, 10889, 15070
910, 5734, 10906, 15293
920, 5841, 11830, 15496
930, 5912, 11522, 15650
940, 6207, 11618, 15906
950, 6178, 12138, 15986
960, 6296, 11952, 16114
970, 6271, 12524, 16389
980, 6305, 13817, 16589
990, 6441, 13060, 16710
1000, 6371, 13043, 16916
